FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Brad Wanamaker,Pacers,G,32.69,22,13.3,22,0.909,55,0.4,17,0.235,0.389,0.465,3.5,1.6,2.2,0.23,0.27,1.05,6.9,96.9,105.7,
Brad Wanamaker,Wizards,G,32.69,1,27.1,3,1,5,0.4,0,0,0.4,0.554,7,4,7,2,0,0,8.6,147.5,102.4,
Duane Washington Jr.,Pacers,G,22.03,45,20,57,0.772,196,0.429,199,0.362,0.486,0.509,9.5,1.8,1.8,0.53,0.07,1.22,6.3,99.1,113.6,
P.J. Washington,Hornets,F,23.61,61,27,74,0.716,211,0.597,294,0.367,0.57,0.585,10.3,5.3,2.2,0.9,0.9,1.25,7.3,114.3,108.1,
Yuta Watanabe,Raptors,G-F,27.47,36,11.7,37,0.568,56,0.482,75,0.36,0.515,0.53,4.3,2.4,0.5,0.22,0.44,0.53,5.9,106.2,104.7,71
Lindy Waters III,Thunder,F,24.69,23,18.9,1,1,26,0.692,136,0.353,0.556,0.557,7.9,3,1,0.78,0.35,0.48,6.1,108.9,107.2,71
Tremont Waters,Raptors,G,24.23,2,20.9,0,0,3,0.333,9,0.222,0.333,0.333,4,2,3.5,2,0,2,5.8,73.7,106.9,70
Tremont Waters,Wizards,G,24.23,1,8.5,0,0,2,0.5,0,0,0.5,0.5,2,0,0,1,0,0,0,99.5,90,
Trendon Watford,Trail Blazers,F,21.4,48,18.1,94,0.755,229,0.581,38,0.237,0.549,0.59,7.6,4.1,1.7,0.54,0.58,0.92,8.3,118.9,105.1,
Paul Watson,Thunder,G,27.26,9,17.4,2,0.5,9,0.667,26,0.231,0.429,0.432,3.4,3,0.9,0.33,0.33,0.44,4.8,91.3,109.1,70
Quinndary Weatherspoon,Warriors,G,25.56,10,6.9,5,1,16,0.688,5,0.2,0.595,0.647,3,1.4,0.4,0.1,0.1,0.3,6.9,121.4,87.6,68
Russell Westbrook,Lakers,G,33.39,77,34.3,391,0.665,951,0.485,262,0.294,0.475,0.51,18.4,7.5,7.1,0.96,0.26,3.74,11.6,102,107.1,78
Coby White,Bulls,G,22.13,58,27.3,87,0.862,279,0.502,334,0.374,0.534,0.56,12.6,3,2.9,0.45,0.19,1.12,7,111.2,109.6,
Derrick White,Spurs,G,27.76,49,30.3,160,0.869,312,0.519,258,0.314,0.497,0.551,14.4,3.5,5.6,1,0.86,1.78,8.7,113.9,109,
Derrick White,Celtics,G,27.76,23,27.5,67,0.881,106,0.5,98,0.286,0.466,0.533,10.8,3.3,3.6,0.61,0.7,1.22,7.3,113.5,103.2,
HasSpurs Whiteside,Jazz,C,32.81,61,18,149,0.624,304,0.648,0,0,0.648,0.659,8,7.5,0.4,0.36,1.49,0.84,6.4,131.4,93.9,
Joe Wieskamp,Spurs,G-F,22.61,25,6.5,9,0.556,12,0.5,38,0.342,0.51,0.519,2.2,0.4,0.3,0.16,0.12,0.08,3.9,109.8,112.7,
Aaron Wiggins,Thunder,G-F,23.25,50,24.2,85,0.729,199,0.573,138,0.304,0.525,0.556,8.3,3.6,1.4,0.6,0.2,1.08,5.7,107.9,108.9,74
Andrew Wiggins,Warriors,F,27.11,71,31.9,227,0.643,607,0.512,387,0.393,0.542,0.559,17.2,4.5,2.3,1.08,0.7,1.52,7.1,109.5,105.2,83
Lindell Wigginton,Bucks,G,24.02,17,8.9,27,0.556,24,0.5,19,0.368,0.523,0.547,3.5,1.2,0.8,0.29,0.06,0.59,6.7,103,106.9,69
Robert Williams III,Celtics,C-F,24.46,61,29.6,90,0.722,367,0.738,1,0,0.736,0.745,10,9.6,2,0.92,2.2,1.03,7.8,149.6,100.6,
Brandon Williams,Trail Blazers,G,22.37,21,27,90,0.7,153,0.431,99,0.303,0.44,0.489,13.6,3.2,3.9,1.05,0.43,2.43,8.2,98.1,113,
Grant Williams,Celtics,F,23.34,74,24.2,89,0.899,167,0.575,249,0.418,0.606,0.642,7.9,3.5,1,0.47,0.72,0.8,5,122.8,101.5,
Kenrich Williams,Thunder,G-F,27.34,49,21.9,55,0.545,196,0.536,121,0.339,0.525,0.532,7.4,4.5,2.2,0.9,0.2,0.94,7.6,111.7,107.1,76
Lou Williams,Hawks,G,35.44,55,14.3,78,0.859,215,0.405,101,0.366,0.451,0.502,6.4,1.6,1.9,0.51,0.05,0.76,7.5,105.4,112.3,
Patrick Williams,Bulls,F,20.61,13,22.9,16,0.625,41,0.561,17,0.471,0.603,0.615,6.2,3.8,0.6,0.69,0.54,0.54,4.2,120.3,109.8,
Ziaire Williams,Grizzlies,F,20.56,58,21.4,44,0.773,165,0.648,215,0.302,0.538,0.555,7.6,2.1,1,0.55,0.19,0.66,4.7,112,106.6,74
D.J. Wilson,Raptors,F,26.12,4,13.5,10,0.8,13,0.846,2,0,0.733,0.773,7.5,4,1.3,1.25,0.25,0.5,10,148.9,94.1,71
Dylan Windler,Cavs,G-F,25.53,48,9.1,18,0.833,27,0.556,68,0.309,0.489,0.525,2.3,1.8,0.6,0.29,0.06,0.33,6,110.1,101.3,
Justise Winslow,Clippers,F-G,26.02,37,13,41,0.61,112,0.518,29,0.172,0.465,0.49,4.2,3.6,1.4,0.57,0.49,0.97,8.5,98.5,100.8,76
Justise Winslow,Trail Blazers,F-G,26.02,11,26.8,25,0.56,79,0.468,37,0.27,0.448,0.465,10.7,6.3,2.9,1.27,0.64,1.09,8.7,103.8,111,76
Cassius Winston,Wizards,G,24.1,5,5.4,2,1,1,1,5,0.4,0.667,0.727,2,0,1,0,0,0.2,0,143.2,94.9,
Christian Wood,Rockets,F,26.52,68,30.8,332,0.623,542,0.57,336,0.39,0.576,0.595,17.9,10.1,2.3,0.78,0.97,1.85,9.7,114.1,107.9,
Delon Wright,Hawks,G,29.94,73,18.7,57,0.86,149,0.51,111,0.396,0.546,0.584,4.6,2.8,2.4,1.16,0.26,0.62,6.7,126,112.3,
Thaddeus Young,Spurs,F,33.78,26,14.2,22,0.455,123,0.602,5,0,0.578,0.574,6.1,3.6,2.3,0.88,0.27,1.15,10.4,113.8,103.4,
Thaddeus Young,Raptors,F,33.78,22,17.5,23,0.435,83,0.482,34,0.412,0.521,0.519,6,4.3,1.6,1.14,0.45,0.91,7.9,109.4,102.9,75
Trae Young,Hawks,G,23.54,72,34.8,525,0.903,885,0.51,576,0.382,0.535,0.602,28.3,3.8,9.6,1,0.1,3.96,11.6,119.2,114.2,
Omer Yurtseven,Heat,C,23.79,54,12.1,57,0.632,224,0.558,8,0.125,0.545,0.562,5.4,5.1,0.9,0.28,0.35,0.72,9.6,115,93.9,
Cody Zeller,Trail Blazers,F-C,29.49,27,13.1,49,0.776,86,0.593,4,0,0.567,0.627,5.2,4.6,0.8,0.3,0.22,0.7,8.2,128.4,101.5,
Ivica Zubac,Clippers,C,25.05,73,24.4,221,0.729,468,0.624,0,0,0.624,0.659,10.2,8.3,1.6,0.49,1,1.51,8.4,127.1,100.3,78
Carsen Edwards,Pistons,G,24.06,1,30.7,1,1,9,0.333,6,0.333,0.4,0.421,13,3,9,2,0,1,9.2,108.1,107.1,
Gabriel Lundberg,Suns,G,27.33,1,4.2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,20.9,118.1,
